seed,iter,0::2B::0,0::2B::1,0::2T::0,0::2T::1,1::2B::0,1::2B::1,1::2T::0,1::2T::1,2::2B::0,2::2B::1,2::2T::0,2::2T::1
1,2188,0.7336,0.2664,0.289149,0.710851,0.7336,0.2664,0.289149,0.710851,0.716191,0.283809,0.304008,0.695992
1,2291,0.735314,0.264686,0.274403,0.725597,0.735314,0.264686,0.274403,0.725597,0.68931,0.31069,0.289366,0.710634
1,2399,0.719468,0.280532,0.264011,0.735989,0.719468,0.280532,0.264011,0.735989,0.655202,0.344798,0.27672,0.72328
1,2512,0.729925,0.270075,0.261914,0.738086,0.729925,0.270075,0.261914,0.738086,0.644048,0.355952,0.266003,0.733997
1,2631,0.74123,0.25877,0.272047,0.727953,0.74123,0.25877,0.272047,0.727953,0.662034,0.337966,0.273476,0.726524
1,2755,0.732974,0.267026,0.258051,0.741949,0.732974,0.267026,0.258051,0.741949,0.676111,0.323889,0.31138,0.68862
1,2885,0.743285,0.256715,0.25371,0.74629,0.743285,0.256715,0.25371,0.74629,0.689548,0.310452,0.321195,0.678805
1,3020,0.756173,0.243827,0.251296,0.748704,0.756173,0.243827,0.251296,0.748704,0.669904,0.330096,0.30457,0.69543
1,3163,0.748028,0.251972,0.241531,0.758469,0.748028,0.251972,0.241531,0.758469,0.642552,0.357448,0.290991,0.709009
1,3312,0.745332,0.254668,0.230286,0.769714,0.745332,0.254668,0.230286,0.769714,0.656654,0.343346,0.296403,0.703597
1,3468,0.755703,0.244297,0.252733,0.747267,0.755703,0.244297,0.252733,0.747267,0.67334,0.32666,0.325877,0.674123
1,3631,0.766387,0.233613,0.254287,0.745713,0.766387,0.233613,0.254287,0.745713,0.677774,0.322226,0.324358,0.675642
1,3802,0.750311,0.249689,0.243861,0.756139,0.750311,0.249689,0.243861,0.756139,0.646459,0.353541,0.30993,0.69007
1,3982,0.736008,0.263992,0.232992,0.767008,0.736008,0.263992,0.232992,0.767008,0.65016,0.34984,0.307312,0.692688
1,4169,0.74623,0.25377,0.223022,0.776978,0.74623,0.25377,0.223022,0.776978,0.664199,0.335801,0.340759,0.659241
1,4366,0.758298,0.241702,0.249746,0.750254,0.758298,0.241702,0.249746,0.750254,0.670815,0.329185,0.345877,0.654123
1,4571,0.770042,0.229958,0.241635,0.758365,0.770042,0.229958,0.241635,0.758365,0.637808,0.362192,0.33064,0.66936
1,4787,0.746155,0.253845,0.22999,0.77001,0.746155,0.253845,0.22999,0.77001,0.631775,0.368225,0.330486,0.669514
1,5012,0.750612,0.249388,0.219524,0.780476,0.750612,0.249388,0.219524,0.780476,0.64848,0.35152,0.358591,0.641409
1,5249,0.761629,0.238371,0.249503,0.750497,0.761629,0.238371,0.249503,0.750497,0.634397,0.365603,0.344593,0.655407
1,5496,0.765769,0.234231,0.244084,0.755916,0.765769,0.234231,0.244084,0.755916,0.622396,0.377604,0.34021,0.65979
1,5755,0.740155,0.259845,0.233917,0.766083,0.740155,0.259845,0.233917,0.766083,0.639756,0.360244,0.367086,0.632914
1,6026,0.752291,0.247709,0.239938,0.760062,0.752291,0.247709,0.239938,0.760062,0.627976,0.372024,0.35386,0.64614
1,6310,0.755928,0.244072,0.236018,0.763982,0.755928,0.244072,0.236018,0.763982,0.631908,0.368092,0.353466,0.646534
1,6607,0.750028,0.249972,0.225613,0.774387,0.750028,0.249972,0.225613,0.774387,0.64146,0.35854,0.351757,0.648243
1,6919,0.761663,0.238337,0.221902,0.778098,0.761663,0.238337,0.221902,0.778098,0.633505,0.366495,0.338446,0.661554
1,7245,0.760212,0.239788,0.216406,0.783594,0.760212,0.239788,0.216406,0.783594,0.64936,0.35064,0.343538,0.656462
1,7586,0.754781,0.245219,0.217039,0.782961,0.754781,0.245219,0.217039,0.782961,0.647503,0.352497,0.330455,0.669545
1,7944,0.756624,0.243376,0.231344,0.768656,0.756624,0.243376,0.231344,0.768656,0.654426,0.345574,0.327469,0.672531
1,8318,0.745796,0.254204,0.238131,0.761869,0.745796,0.254204,0.238131,0.761869,0.660804,0.339196,0.326728,0.673272
1,8710,0.732815,0.267185,0.236594,0.763406,0.732815,0.267185,0.236594,0.763406,0.654556,0.345444,0.320413,0.679587
1,9121,0.742595,0.257405,0.247573,0.752427,0.742595,0.257405,0.247573,0.752427,0.663352,0.336648,0.329149,0.670851
1,9550,0.73256,0.26744,0.237364,0.762636,0.73256,0.26744,0.237364,0.762636,0.656484,0.343516,0.314541,0.685459
1,10000,0.740322,0.259678,0.247284,0.752716,0.740322,0.259678,0.247284,0.752716,0.670082,0.329918,0.32516,0.67484
