seed,iter,0::0b::0,0::0b::1,0::0p::0,0::0p::1,0::1b::0,0::1b::1,0::1p::0,0::1p::1,0::2b::0,0::2b::1,0::2p::0,0::2p::1,1::0b::0,1::0b::1,1::0p::0,1::0p::1,1::1b::0,1::1b::1,1::1p::0,1::1p::1,1::2b::0,1::2b::1,1::2p::0,1::2p::1,2::0b::0,2::0b::1,2::0p::0,2::0p::1,2::1b::0,2::1b::1,2::1p::0,2::1p::1,2::2b::0,2::2b::1,2::2p::0,2::2p::1,3::0b::0,3::0b::1,3::0p::0,3::0p::1,3::1b::0,3::1b::1,3::1p::0,3::1p::1,3::2b::0,3::2b::1,3::2p::0,3::2p::1
1,317,9.40042e-06,0.999991,0.5,0.5,0.0044237,0.995576,0.325,0.675,0,1,0.5,0.5,0.0543424,0.945658,0.034621,0.965379,0.0041141,0.995886,0.492593,0.507407,0.380264,0.619736,0.791131,0.208869,0.226724,0.773276,0.0535759,0.946424,0.00535155,0.994648,0.5,0.5,0.811451,0.188549,0.831231,0.168769,0.420959,0.579041,0.676503,0.323497,0.208714,0.791286,0.527867,0.472133,0.411849,0.588151,0,1
1,332,8.90566e-06,0.999991,0.5,0.5,0.00424532,0.995755,0.325,0.675,0,1,0.5,0.5,0.0526841,0.947316,0.0364744,0.963526,0.00390235,0.996098,0.492593,0.507407,0.375354,0.624646,0.791131,0.208869,0.222057,0.777943,0.0547075,0.945292,0.00514168,0.994858,0.5,0.5,0.807155,0.192845,0.81626,0.18374,0.455309,0.544691,0.810221,0.189779,0.226602,0.773398,0.527867,0.472133,0.39166,0.60834,0,1
1,347,8.53148e-06,0.999991,0.5,0.5,0.00404938,0.995951,0.325,0.675,0,1,0.5,0.5,0.0504375,0.949562,0.0364744,0.963526,0.00376396,0.996236,0.492593,0.507407,0.369075,0.630925,0.784467,0.215533,0.214747,0.785253,0.0580071,0.941993,0.00494766,0.995052,0.5,0.5,0.804358,0.195642,0.811704,0.188296,0.473168,0.526832,0.827073,0.172927,0.264375,0.735625,0.545012,0.454988,0.376881,0.623119,0,1
1,364,8.05751e-06,0.999992,0.5,0.5,0.00389941,0.996101,0.325,0.675,0,1,0.5,0.5,0.0469888,0.953011,0.0364744,0.963526,0.00363506,0.996365,0.492593,0.507407,0.363575,0.636425,0.784467,0.215533,0.210278,0.789722,0.0580071,0.941993,0.00456045,0.99544,0.5,0.5,0.802159,0.197841,0.807232,0.192768,0.509362,0.490638,0.843973,0.156027,0.282155,0.717845,0.519361,0.480639,0.363176,0.636824,0,1
1,381,7.52034e-06,0.999992,0.5,0.5,0.00370718,0.996293,0.325,0.675,0,1,0.5,0.5,0.045063,0.954937,0.0364744,0.963526,0.00342399,0.996576,0.492593,0.507407,0.359581,0.640419,0.784467,0.215533,0.206119,0.793881,0.0580071,0.941993,0.00437043,0.99563,0.5,0.5,0.796728,0.203272,0.788935,0.211065,0.5239,0.4761,0.855547,0.144453,0.318235,0.681765,0.504244,0.495756,0.347386,0.652614,0,1
1,399,7.14962e-06,0.999993,0.5,0.5,0.00355689,0.996443,0.325,0.675,0,1,0.5,0.5,0.042754,0.957246,0.0364744,0.963526,0.00329639,0.996704,0.492593,0.507407,0.352744,0.647256,0.784467,0.215533,0.204012,0.795988,0.0580071,0.941993,0.00419561,0.995804,0.5,0.5,0.789259,0.210741,0.776819,0.223181,0.550535,0.449465,0.865522,0.134478,0.333885,0.666115,0.467324,0.532676,0.335709,0.664291,0,1
1,417,6.81373e-06,0.999993,0.5,0.5,0.00341831,0.996582,0.325,0.675,0,1,0.5,0.5,0.0413205,0.958679,0.0372102,0.96279,0.00317796,0.996822,0.492593,0.507407,0.344456,0.655544,0.780806,0.219194,0.200847,0.799153,0.0580071,0.941993,0.00406552,0.995934,0.5,0.5,0.783448,0.216552,0.776819,0.223181,0.562765,0.437235,0.865522,0.134478,0.346939,0.653061,0.436209,0.563791,0.314562,0.685438,0,1
1,437,6.5925e-06,0.999993,0.5,0.5,0.00326969,0.99673,0.325,0.675,0,1,0.5,0.5,0.0406937,0.959306,0.0390284,0.960972,0.00299841,0.997002,0.492593,0.507407,0.334535,0.665465,0.775218,0.224782,0.196298,0.803702,0.0580071,0.941993,0.00388483,0.996115,0.5,0.5,0.779661,0.220339,0.76498,0.23502,0.585332,0.414668,0.894628,0.105372,0.363983,0.636017,0.430279,0.569721,0.302647,0.697353,0,1
1,458,6.50799e-06,0.999993,0.5,0.5,0.0030254,0.996975,0.325,0.675,0,1,0.5,0.5,0.0401238,0.959876,0.0390284,0.960972,0.00285333,0.997147,0.492593,0.507407,0.318529,0.681471,0.773561,0.226439,0.194728,0.805272,0.0604086,0.939591,0.00366749,0.996333,0.5,0.5,0.772808,0.227192,0.752901,0.247099,0.605684,0.394316,0.907153,0.0928472,0.37551,0.62449,0.435935,0.564065,0.291601,0.708399,0,1
1,479,6.26695e-06,0.999994,0.5,0.5,0.0029084,0.997092,0.325,0.675,0,1,0.5,0.5,0.0395653,0.960435,0.0390284,0.960972,0.00276416,0.997236,0.492593,0.507407,0.304035,0.695965,0.771508,0.228492,0.190071,0.809929,0.0617416,0.938258,0.00349634,0.996504,0.5,0.5,0.768558,0.231442,0.739233,0.260767,0.624131,0.375869,0.915759,0.0842406,0.384708,0.615292,0.43921,0.56079,0.277725,0.722275,0,1
1,502,6.00737e-06,0.999994,0.5,0.5,0.00281508,0.997185,0.325,0.675,0,1,0.5,0.5,0.0396161,0.960384,0.0463511,0.953649,0.0026804,0.99732,0.492593,0.507407,0.29055,0.70945,0.77006,0.22994,0.185845,0.814155,0.0667062,0.933294,0.00327782,0.996722,0.5,0.5,0.763853,0.236147,0.732726,0.267274,0.638913,0.361087,0.922071,0.0779295,0.396176,0.603824,0.438324,0.561676,0.26325,0.73675,0,1
1,525,5.70363e-06,0.999994,0.5,0.5,0.0027135,0.997286,0.325,0.675,0,1,0.5,0.5,0.0403352,0.959665,0.0556597,0.94434,0.00255153,0.997448,0.492593,0.507407,0.281052,0.718948,0.768937,0.231063,0.179488,0.820512,0.0684618,0.931538,0.00319788,0.996802,0.5,0.5,0.756502,0.243498,0.723845,0.276155,0.650687,0.349313,0.924979,0.0750207,0.40586,0.59414,0.425118,0.574882,0.245485,0.754515,0,1
1,550,5.45831e-06,0.999995,0.5,0.5,0.00260604,0.997394,0.325,0.675,0,1,0.5,0.5,0.0399829,0.960017,0.0569884,0.943012,0.00244571,0.997554,0.492593,0.507407,0.268328,0.731672,0.766881,0.233119,0.172546,0.827454,0.0689522,0.931048,0.00304914,0.996951,0.5,0.5,0.750531,0.249469,0.71497,0.28503,0.670392,0.329608,0.928727,0.071273,0.420892,0.579108,0.414429,0.585571,0.234,0.766,0,1
1,576,5.20639e-06,0.999995,0.5,0.5,0.00244846,0.997552,0.325,0.675,0,1,0.5,0.5,0.0404015,0.959598,0.0788545,0.921146,0.00231755,0.997682,0.492593,0.507407,0.260634,0.739366,0.766881,0.233119,0.165361,0.834639,0.0693934,0.930607,0.0028816,0.997118,0.5,0.5,0.745869,0.254131,0.708636,0.291364,0.680231,0.319769,0.930128,0.069872,0.436667,0.563333,0.400877,0.599123,0.218656,0.781344,0,1
1,603,4.97669e-06,0.999995,0.5,0.5,0.00229878,0.997701,0.325,0.675,0,1,0.5,0.5,0.0404513,0.959549,0.0788545,0.921146,0.00220215,0.997798,0.492593,0.507407,0.246073,0.753927,0.766881,0.233119,0.15944,0.84056,0.0698862,0.930114,0.00270336,0.997297,0.5,0.5,0.74216,0.25784,0.698864,0.301136,0.699656,0.300344,0.934471,0.065529,0.447054,0.552946,0.400877,0.599123,0.209497,0.790503,0,1
1,631,4.76641e-06,0.999995,0.5,0.5,0.00217529,0.997825,0.325,0.675,0,1,0.5,0.5,0.0403766,0.959623,0.0788545,0.921146,0.00210603,0.997894,0.492593,0.507407,0.235546,0.764454,0.766881,0.233119,0.154711,0.845289,0.0707944,0.929206,0.00257084,0.997429,0.5,0.5,0.736293,0.263707,0.689013,0.310987,0.709169,0.290831,0.939129,0.0608712,0.4682,0.5318,0.36703,0.63297,0.201075,0.798925,0,1
1,661,4.53235e-06,0.999995,0.5,0.5,0.00208897,0.997911,0.325,0.675,0,1,0.5,0.5,0.0381994,0.961801,0.0788545,0.921146,0.00203341,0.997967,0.492593,0.507407,0.223589,0.776411,0.766881,0.233119,0.147379,0.852621,0.0707944,0.929206,0.00250934,0.997491,0.5,0.5,0.72801,0.27199,0.676542,0.323458,0.726496,0.273504,0.944279,0.0557212,0.47206,0.52794,0.351197,0.648803,0.191454,0.808546,0,1
